president,speech_date,year,title,url,source_file,word_count,self_count,collective_count,self_per_1k,collective_per_1k,self_share,speech_type,is_sotu_series,delivery_mode
Jimmy Carter,1976-10-22,1976,"October 22, 1976: Debate with President Gerald Ford",https://millercenter.org/the-presidency/presidential-speeches/october-22-1976-debate-president-gerald-ford,"Jimmy_Carter_1976-10-22T13:00:00-04:00_October_22,_1976:_Debate_with_President_Gerald_Ford.json",12914,402,219,31.13,16.96,0.6473,Debate,False,spoken_era
Jimmy Carter,1977-01-20,1977,"January 20, 1977: Inaugural Address",https://millercenter.org/the-presidency/presidential-speeches/january-20-1977-inaugural-address,"Jimmy_Carter_1977-01-20T13:00:00-05:00_January_20,_1977:_Inaugural_Address.json",1222,18,88,14.73,72.01,0.1698,Inaugural Address,False,spoken_era
Jimmy Carter,1977-02-02,1977,"February 2, 1977: Report to the American People on Energy",https://millercenter.org/the-presidency/presidential-speeches/february-2-1977-report-american-people-energy,"Jimmy_Carter_1977-02-02T13:00:00-05:00_February_2,_1977:_Report_to_the_American_People_on_Energy.json",3492,98,147,28.06,42.1,0.4,Other,False,spoken_era
Jimmy Carter,1977-03-09,1977,"March 9, 1977: Remarks at President Carter's Press Conference",https://millercenter.org/the-presidency/presidential-speeches/march-9-1977-remarks-president-carters-press-conference,"Jimmy_Carter_1977-03-09T13:00:00-05:00_March_9,_1977:_Remarks_at_President_Carter's_Press_Conference.json",4855,166,74,34.19,15.24,0.6917,Press/News Conference,False,spoken_era
Jimmy Carter,1977-04-18,1977,"April 18, 1977: Address to the Nation on Energy",https://millercenter.org/the-presidency/presidential-speeches/april-18-1977-address-nation-energy,"Jimmy_Carter_1977-04-18T13:00:00-05:00_April_18,_1977:_Address_to_the_Nation_on_Energy.json",2600,17,170,6.54,65.38,0.0909,Other,False,spoken_era
Jimmy Carter,1977-05-22,1977,"May 22, 1977: University of Notre Dame Commencement",https://millercenter.org/the-presidency/presidential-speeches/may-22-1977-university-notre-dame-commencement,"Jimmy_Carter_1977-05-22T13:00:00-04:00_May_22,_1977:_University_of_Notre_Dame_Commencement.json",3193,42,162,13.15,50.74,0.2059,Other,False,spoken_era
Jimmy Carter,1977-09-07,1977,"September 7, 1977: Statement on the Panama Canal Treaty Signing",https://millercenter.org/the-presidency/presidential-speeches/september-7-1977-statement-panama-canal-treaty-signing,"Jimmy_Carter_1977-09-07T13:00:00-04:00_September_7,_1977:_Statement_on_the_Panama_Canal_Treaty_Signing.json",687,7,18,10.19,26.2,0.28,Other,False,spoken_era
Jimmy Carter,1977-11-08,1977,"November 8, 1977: Address to the Nation on Energy",https://millercenter.org/the-presidency/presidential-speeches/november-8-1977-address-nation-energy,"Jimmy_Carter_1977-11-08T13:00:00-05:00_November_8,_1977:_Address_to_the_Nation_on_Energy.json",2450,33,101,13.47,41.22,0.2463,Other,False,spoken_era
Jimmy Carter,1978-01-19,1978,"January 19, 1978: State of the Union Address",https://millercenter.org/the-presidency/presidential-speeches/january-19-1978-state-union-address,"Jimmy_Carter_1978-01-19T13:00:00-05:00_January_19,_1978:_State_of_the_Union_Address.json",4579,58,234,12.67,51.1,0.1986,State of the Union,True,spoken_era
Jimmy Carter,1978-09-17,1978,"September 17, 1978: President Carter's Remarks on Joint Statement at Camp David Summit",https://millercenter.org/the-presidency/presidential-speeches/september-17-1978-president-carters-remarks-joint-statement,"Jimmy_Carter_1978-09-17T13:00:00-04:00_September_17,_1978:_President_Carter's_Remarks_on_Joint_Statement_at_Camp_David_Summit.json",746,6,9,8.04,12.06,0.4,Other,False,spoken_era
Jimmy Carter,1978-10-24,1978,"October 24, 1978: Anti-Inflation Program Speech",https://millercenter.org/the-presidency/presidential-speeches/october-24-1978-anti-inflation-program-speech,"Jimmy_Carter_1978-10-24T13:00:00-04:00_October_24,_1978:_Anti-Inflation_Program_Speech.json",3232,63,126,19.49,38.99,0.3333,Other,False,spoken_era
Jimmy Carter,1978-12-15,1978,"December 15, 1978: Speech on Establishing Diplomatic Relations with China",https://millercenter.org/the-presidency/presidential-speeches/december-15-1978-speech-establishing-diplomatic-relations,"Jimmy_Carter_1978-12-15T13:00:00-05:00_December_15,_1978:_Speech_on_Establishing_Diplomatic_Relations_with_China.json",903,9,22,9.97,24.36,0.2903,Other,False,spoken_era
Jimmy Carter,1979-01-23,1979,"January 23, 1979: State of the Union Address",https://millercenter.org/the-presidency/presidential-speeches/january-23-1979-state-union-address,"Jimmy_Carter_1979-01-23T13:00:00-05:00_January_23,_1979:_State_of_the_Union_Address.json",3277,28,179,8.54,54.62,0.1353,State of the Union,True,spoken_era
Jimmy Carter,1979-07-15,1979,"July 15, 1979: ""Crisis of Confidence"" Speech",https://millercenter.org/the-presidency/presidential-speeches/july-15-1979-crisis-confidence-speech,"Jimmy_Carter_1979-07-15T13:00:00-04:00_July_15,_1979:_""Crisis_of_Confidence""_Speech.json",3595,79,218,21.97,60.64,0.266,Other,False,spoken_era
Jimmy Carter,1980-01-04,1980,"January 4, 1980: Speech on Afghanistan",,"Jimmy_Carter_1980-01-04T13:00:00-05:00_January_4,_1980:_Speech_on_Afghanistan.json",1356,14,37,10.32,27.29,0.2745,Other,False,spoken_era
Jimmy Carter,1980-01-23,1980,"January 23, 1980: State of the Union Address",https://millercenter.org/the-presidency/presidential-speeches/january-23-1980-state-union-address,"Jimmy_Carter_1980-01-23T13:00:00-05:00_January_23,_1980:_State_of_the_Union_Address.json",3422,27,161,7.89,47.05,0.1436,State of the Union,True,spoken_era
Jimmy Carter,1980-04-25,1980,"April 25, 1980: Statement on the Iran Rescue Mission",https://millercenter.org/the-presidency/presidential-speeches/april-25-1980-statement-iran-rescue-mission,"Jimmy_Carter_1980-04-25T14:00:00-05:00_April_25,_1980:_Statement_on_the_Iran_Rescue_Mission.json",815,22,20,26.99,24.54,0.5238,Other,False,spoken_era
Jimmy Carter,1980-08-14,1980,"August 14, 1980: Acceptance Speech at the Democratic National Convention",https://millercenter.org/the-presidency/presidential-speeches/august-14-1980-acceptance-speech-democratic-national,"Jimmy_Carter_1980-08-14T14:00:00-04:00_August_14,_1980:_Acceptance_Speech_at_the_Democratic_National_Convention.json",4664,86,166,18.44,35.59,0.3413,Nomination Acceptance,False,spoken_era
Jimmy Carter,1980-10-28,1980,"October 28, 1980: Debate with Ronald Reagan",https://millercenter.org/the-presidency/presidential-speeches/october-28-1980-debate-ronald-reagan,"Jimmy_Carter_1980-10-28T13:00:00-05:00_October_28,_1980:_Debate_with_Ronald_Reagan.json",15151,350,322,23.1,21.25,0.5208,Debate,False,spoken_era
Jimmy Carter,1981-01-14,1981,"January 14, 1981: Farewell Speech",https://millercenter.org/the-presidency/presidential-speeches/january-14-1981-farewell-speech,"Jimmy_Carter_1981-01-14T13:00:00-05:00_January_14,_1981:_Farewell_Speech.json",2167,41,92,18.92,42.46,0.3083,Farewell Address,False,spoken_era
Joe Biden,2021-01-20,2021,"January 20, 2021: Inaugural Address",,"Joe_Biden_2021-01-20T11:50:00-05:00_January_20,_2021:_Inaugural_Address.json",2371,64,161,26.99,67.9,0.2844,Inaugural Address,False,spoken_era
Joe Biden,2021-03-11,2021,"March 11, 2021: Remarks on the Anniversary of the Coronavirus Shutdown",https://millercenter.org/the-presidency/presidential-speeches/march-11-2021-remarks-anniversary-coronavirus-shutdown,"Joe_Biden_2021-03-11T20:00:00-05:00_March_11,_2021:_Remarks_on_the_Anniversary_of_the_Coronavirus_Shutdown.json",3165,94,129,29.7,40.76,0.4215,Other,False,spoken_era
Joe Biden,2021-03-25,2021,"March 25, 2021: First Press Conference",,"Joe_Biden_2021-03-25T13:30:00-04:00_March_25,_2021:_First_Press_Conference.json",9431,309,195,32.76,20.68,0.6131,Press/News Conference,False,spoken_era
Joe Biden,2021-03-31,2021,"March 31, 2021: Announcing the American Jobs Plan",,"Joe_Biden_2021-03-31T17:00:00-04:00_March_31,_2021:_Announcing_the_American_Jobs_Plan.json",4291,105,134,24.47,31.23,0.4393,Other,False,spoken_era
Joe Biden,2021-04-28,2021,"April 28, 2021: Address to Joint Session of Congress",,"Joe_Biden_2021-04-28T21:00:00-04:00_April_28,_2021:_Address_to_Joint_Session_of_Congress.json",8093,184,313,22.74,38.68,0.3702,Address to Congress,False,spoken_era
